ID    Gfi1    FOG1    GATA2   GATA1   EKLF    Fli1    SCL     Cebpa   Pu1     cJun    EgrNab  
1     false     false     true      false     false     false     false     true      true      false     false     
2     true      false     true      false     false     false     false     true      true      false     false     
3     false     false     false     false     false     false     false     true      true      false     false     
4     false     false     true      false     false     false     false     true      false     false     false     
5     false     false     true      false     false     false     false     true      true      true      false     
6     true      false     true      false     false     false     false     true      true      true      false     
7     false     false     false     false     false     false     false     true      true      true      false     
8     false     false     true      false     false     false     false     true      false     true      false     
9     false     false     true      false     false     false     false     true      true      true      true      
10    false     false     false     false     false     false     false     true      true      true      true      
11    false     false     true      false     false     false     false     true      false     true      true      
12    false     false     true      true      false     false     false     true      false     true      true      
13    false     false     true      false     false     false     false     true      false     false     true      
14    false     false     true      true      false     false     false     true      false     false     true      
15    false     true      true      true      false     false     false     true      false     false     true      
16    false     false     true      true      true      false     false     true      false     false     true      
17    false     false     true      true      false     true      false     true      false     false     true      
18    false     false     true      true      false     false     true      true      false     false     true      
19    false     false     true      true      false     false     false     true      false     false     false     
20    true      false     true      true      false     false     false     true      false     false     false     
21    false     true      true      true      false     false     false     true      false     false     false     
22    false     false     true      true      true      false     false     true      false     false     false     
23    false     false     true      true      false     true      false     true      false     false     false     
24    false     false     true      true      false     false     true      true      false     false     false     
25    true      false     true      true      false     false     true      true      false     false     false     
26    false     true      true      true      false     false     true      true      false     false     false     
27    false     false     true      true      true      false     true      true      false     false     false     
28    false     false     true      true      false     true      true      true      false     false     false     
29    true      false     true      true      false     true      true      true      false     false     false     
30    false     true      true      true      false     true      true      true      false     false     false     
31    true      true      true      true      false     true      true      true      false     false     false     
32    false     true      false     true      false     true      true      true      false     false     false     
33    false     true      true      true      false     true      true      false     false     false     false     
34    false     true      false     true      false     true      true      false     false     false     false     
35    true      true      false     true      false     true      true      true      false     false     false     
36    true      true      false     true      false     true      true      false     false     false     false     
37    true      true      true      true      false     true      true      false     false     false     false     
38    true      false     true      true      true      false     true      true      false     false     false     
39    false     true      true      true      true      false     true      true      false     false     false     
40    true      true      true      true      true      false     true      true      false     false     false     
41    false     true      false     true      true      false     true      true      false     false     false     
42    false     true      true      true      true      false     true      false     false     false     false     
43    false     true      false     true      true      false     true      false     false     false     false     
44    true      true      false     true      true      false     true      true      false     false     false     
45    true      true      false     true      true      false     true      false     false     false     false     
46    true      true      true      true      true      false     true      false     false     false     false     
47    true      true      true      true      false     false     true      true      false     false     false     
48    false     true      false     true      false     false     true      true      false     false     false     
49    false     true      true      true      false     false     true      false     false     false     false     
50    false     true      false     true      false     false     true      false     false     false     false     
51    true      true      false     true      false     false     true      true      false     false     false     
52    true      true      false     true      false     false     true      false     false     false     false     
53    true      true      true      true      false     false     true      false     false     false     false     
54    true      false     true      true      false     true      false     true      false     false     false     
55    false     true      true      true      false     true      false     true      false     false     false     
56    true      true      true      true      false     true      false     true      false     false     false     
57    false     true      false     true      false     true      false     true      false     false     false     
58    true      true      false     true      false     true      false     true      false     false     false     
59    true      false     true      true      true      false     false     true      false     false     false     
60    false     true      true      true      true      false     false     true      false     false     false     
61    true      true      true      true      true      false     false     true      false     false     false     
62    false     true      false     true      true      false     false     true      false     false     false     
63    true      true      false     true      true      false     false     true      false     false     false     
64    true      true      true      true      false     false     false     true      false     false     false     
65    false     true      false     true      false     false     false     true      false     false     false     
66    true      true      false     true      false     false     false     true      false     false     false     
67    false     true      true      true      false     false     true      true      false     false     true      
68    false     false     true      true      true      false     true      true      false     false     true      
69    false     false     true      true      false     true      true      true      false     false     true      
70    false     true      true      true      false     true      true      true      false     false     true      
71    false     true      false     true      false     true      true      true      false     false     true      
72    false     true      true      true      false     true      true      false     false     false     true      
73    false     true      false     true      false     true      true      false     false     false     true      
74    false     true      true      true      true      false     true      true      false     false     true      
75    false     true      false     true      true      false     true      true      false     false     true      
76    false     true      true      true      true      false     true      false     false     false     true      
77    false     true      false     true      true      false     true      false     false     false     true      
78    false     true      false     true      false     false     true      true      false     false     true      
79    false     true      true      true      false     false     true      false     false     false     true      
80    false     true      false     true      false     false     true      false     false     false     true      
81    false     true      true      true      false     true      false     true      false     false     true      
82    false     true      false     true      false     true      false     true      false     false     true      
83    false     true      true      true      true      false     false     true      false     false     true      
84    false     true      false     true      true      false     false     true      false     false     true      
85    false     true      false     true      false     false     false     true      false     false     true      
86    false     true      true      true      false     false     false     true      false     true      true      
87    false     false     true      true      true      false     false     true      false     true      true      
88    false     false     true      true      false     true      false     true      false     true      true      
89    false     false     true      true      false     false     true      true      false     true      true      
90    false     false     true      true      false     false     false     true      false     true      false     
91    true      false     true      true      false     false     false     true      false     true      false     
92    false     true      true      true      false     false     false     true      false     true      false     
93    false     false     true      true      true      false     false     true      false     true      false     
94    false     false     true      true      false     true      false     true      false     true      false     
95    false     false     true      true      false     false     true      true      false     true      false     
96    true      false     true      true      false     false     true      true      false     true      false     
97    false     true      true      true      false     false     true      true      false     true      false     
98    false     false     true      true      true      false     true      true      false     true      false     
99    false     false     true      true      false     true      true      true      false     true      false     
100   true      false     true      true      false     true      true      true      false     true      false     
101   false     true      true      true      false     true      true      true      false     true      false     
102   true      true      true      true      false     true      true      true      false     true      false     
103   false     true      false     true      false     true      true      true      false     true      false     
104   false     true      true      true      false     true      true      false     false     true      false     
105   false     true      false     true      false     true      true      false     false     true      false     
106   true      true      false     true      false     true      true      true      false     true      false     
107   true      true      false     true      false     true      true      false     false     true      false     
108   true      true      true      true      false     true      true      false     false     true      false     
109   true      false     true      true      true      false     true      true      false     true      false     
110   false     true      true      true      true      false     true      true      false     true      false     
111   true      true      true      true      true      false     true      true      false     true      false     
112   false     true      false     true      true      false     true      true      false     true      false     
113   false     true      true      true      true      false     true      false     false     true      false     
114   false     true      false     true      true      false     true      false     false     true      false     
115   true      true      false     true      true      false     true      true      false     true      false     
116   true      true      false     true      true      false     true      false     false     true      false     
117   true      true      true      true      true      false     true      false     false     true      false     
118   true      true      true      true      false     false     true      true      false     true      false     
119   false     true      false     true      false     false     true      true      false     true      false     
120   false     true      true      true      false     false     true      false     false     true      false     
121   false     true      false     true      false     false     true      false     false     true      false     
122   true      true      false     true      false     false     true      true      false     true      false     
123   true      true      false     true      false     false     true      false     false     true      false     
124   true      true      true      true      false     false     true      false     false     true      false     
125   true      false     true      true      false     true      false     true      false     true      false     
126   false     true      true      true      false     true      false     true      false     true      false     
127   true      true      true      true      false     true      false     true      false     true      false     
128   false     true      false     true      false     true      false     true      false     true      false     
129   true      true      false     true      false     true      false     true      false     true      false     
130   true      false     true      true      true      false     false     true      false     true      false     
131   false     true      true      true      true      false     false     true      false     true      false     
132   true      true      true      true      true      false     false     true      false     true      false     
133   false     true      false     true      true      false     false     true      false     true      false     
134   true      true      false     true      true      false     false     true      false     true      false     
135   true      true      true      true      false     false     false     true      false     true      false     
136   false     true      false     true      false     false     false     true      false     true      false     
137   true      true      false     true      false     false     false     true      false     true      false     
138   false     true      true      true      false     false     true      true      false     true      true      
139   false     false     true      true      true      false     true      true      false     true      true      
140   false     false     true      true      false     true      true      true      false     true      true      
141   false     true      true      true      false     true      true      true      false     true      true      
142   false     true      false     true      false     true      true      true      false     true      true      
143   false     true      true      true      false     true      true      false     false     true      true      
144   false     true      false     true      false     true      true      false     false     true      true      
145   false     true      true      true      true      false     true      true      false     true      true      
146   false     true      false     true      true      false     true      true      false     true      true      
147   false     true      true      true      true      false     true      false     false     true      true      
148   false     true      false     true      true      false     true      false     false     true      true      
149   false     true      false     true      false     false     true      true      false     true      true      
150   false     true      true      true      false     false     true      false     false     true      true      
151   false     true      false     true      false     false     true      false     false     true      true      
152   false     true      true      true      false     true      false     true      false     true      true      
153   false     true      false     true      false     true      false     true      false     true      true      
154   false     true      true      true      true      false     false     true      false     true      true      
155   false     true      false     true      true      false     false     true      false     true      true      
156   false     true      false     true      false     false     false     true      false     true      true      
157   true      false     true      false     false     false     false     true      false     true      false     
158   true      false     true      false     false     false     false     true      false     false     false     
159   true      false     false     false     false     false     false     true      true      true      false     
160   true      false     false     false     false     false     false     true      true      false     false     
